Country,Population,Area,Population_First_Digit,Area_First_Digit
Somalia,17597511,637657,1,6
South Africa,59893885,1221037,5,1
South Korea,51815810,100210,5,1
South Sudan,10913164,619745,1,6
Spain,47558630,505992,4,5
Sri Lanka,21832143,65610,2,6
Sudan,46874204,1886068,4,1
Suriname,618040,163820,6,1
Sweden,10549347,450295,1,4
Switzerland,8740472,41284,8,4
Syria,22125249,185180,2,1
Taiwan,23893394,36193,2,3
Tajikistan,9952787,143100,9,1
Tanzania,65497748,945087,6,9
Thailand,71697030,513120,7,5
Timor-Leste,1341296,14874,1,1
Togo,8848699,56785,8,5
Tokelau,1871,12,1,1
Tonga,106858,747,1,7
Trinidad and Tobago,1531044,5130,1,5
Tunisia,12356117,163610,1,1
Turkey,85341241,783562,8,7
Turkmenistan,6430770,488100,6,4
Turks and Caicos Islands,45703,948,4,9
Tuvalu,11312,26,1,2
Uganda,47249585,241550,4,2
Ukraine,39701739,603500,3,6
United Arab Emirates,9441129,83600,9,8
United Kingdom,67508936,242900,6,2
United States,338289857,9372610,3,9
United States Virgin Islands,99465,347,9,3
Uruguay,3422794,181034,3,1
Uzbekistan,34627652,447400,3,4
Vanuatu,326740,12189,3,1
Vatican City,510,1,5,1
Venezuela,28301696,916445,2,9
Vietnam,98186856,331212,9,3
Wallis and Futuna,11572,142,1,1
Western Sahara,575986,266000,5,2
Yemen,33696614,527968,3,5
Zambia,20017675,752612,2,7
Zimbabwe,16320537,390757,1,3
